x,y,z,shale5Thickness,shale1Thickness,shale2Thickness,shale3Thickness,shale4Thickness,aquifer1Thickness,aquifer2Thickness,aquifer3Thickness,aquifer4Thickness,reservoirThickness
228689.9084,4439642.734,-1130.529108,418.229108,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4439642.734,-1169.301192,457.001192,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4439642.734,-1224.492547,512.1925472,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4439642.734,-1306.786109,594.4861088,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4439642.734,-1377.642965,665.3429648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4439642.734,-1451.626764,739.326764,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4439642.734,-1540.619525,828.3195248,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4454882.734,-890.9633184,178.6633184,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4454882.734,-966.034644,253.734644,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4454882.734,-1028.178182,315.8781824,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4454882.734,-1063.813265,351.5132648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4454882.734,-1098.739687,386.4396872,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4454882.734,-1134.810634,422.5106336,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4454882.734,-1186.066106,473.7661064,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4454882.734,-1258.456716,546.156716,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4454882.734,-1322.477213,610.1772128,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4454882.734,-1389.597221,677.2972208,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4454882.734,-1467.440398,755.1403976,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4470122.734,-874.428528,162.128528,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4470122.734,-940.350672,228.050672,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4470122.734,-996.9715392,284.6715392,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4470122.734,-1030.848535,318.5485352,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4470122.734,-1064.266502,351.9665024,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4470122.734,-1099.25297,386.9529704,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4470122.734,-1146.583838,434.2838384,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4470122.734,-1209.912439,497.6124392,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4470122.734,-1270.309778,558.0097784,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4470122.734,-1332.029645,619.7296448,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4470122.734,-1393.627286,681.3272864,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4485362.734,-855.4126656,143.1126656,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4485362.734,-911.96922,199.66922,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4485362.734,-963.462132,251.162132,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4485362.734,-996.2214264,283.9214264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4485362.734,-1028.845085,316.5450848,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4485362.734,-1062.256956,349.956956,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4485362.734,-1105.986917,393.6869168,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4485362.734,-1163.712074,451.4120744,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4485362.734,-1220.557884,508.257884,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4485362.734,-1278.004454,565.7044544,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4485362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
