Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_000.brine_aquifer2_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_000.brine_aquifer2_1,3.652500000000e+02,-4.363608749133e-24,-6.636090811210e-21,-4.541532855318e-20,-1.228345176281e-23,-1.646961364688e-22,-1.570114479606e-22,-2.337140947566e-23,-5.535412517248e-21,-9.676099725580e-21,-5.032299021396e-22,-8.315368208008e-21,-2.044088365740e-23,-1.088230167486e-22,-9.603219923383e-22,-2.630642346874e-20,-6.790439730356e-22,-9.263366319462e-22,-3.331263953364e-22,-7.202391178102e-21,-3.469203431693e-22,-7.511729522146e-23,-2.158538204066e-21,-3.983444944601e-21,-1.258763356963e-21,-1.442047102467e-22,-1.499228178220e-22,-7.277315806374e-24,-1.643838215061e-24,-1.540613635688e-20,-8.349291494908e-24
MSW1_000.brine_aquifer2_2,7.305000000000e+02,-1.612341094527e-23,-2.451970716095e-20,-1.679002652321e-19,-4.536920257415e-23,-6.092631862525e-22,-5.809818078952e-22,-8.634904748619e-23,-2.046730857488e-20,-3.580862926017e-20,-1.861264895923e-21,-3.074077489727e-20,-7.561345175299e-23,-4.020136738848e-22,-3.549201372358e-21,-9.724247476221e-20,-2.507744247056e-21,-3.424879704012e-21,-1.231281415178e-21,-2.660523333001e-20,-1.283546975371e-21,-2.779242511198e-22,-7.970706003832e-21,-1.473269487400e-20,-4.655073082786e-21,-5.332665699668e-22,-5.535917191012e-22,-2.687930135785e-23,-6.070525021733e-24,-5.693454488722e-20,-3.085424819975e-23
MSW1_000.brine_aquifer2_3,1.095750000000e+03,-1.731253864121e-23,-2.632777773622e-20,-1.803384682332e-19,-4.870448182952e-23,-6.546282842848e-22,-6.243295913776e-22,-9.271275143075e-23,-2.198530197910e-20,-3.848314106917e-20,-1.999647023828e-21,-3.301741346745e-20,-8.124125940654e-23,-4.316116364411e-22,-3.811463603717e-21,-1.044389005742e-19,-2.691906290571e-21,-3.678728783121e-21,-1.322324049465e-21,-2.856292951976e-20,-1.379226386147e-21,-2.986432760390e-22,-8.555517977941e-21,-1.582767216880e-20,-5.000787430195e-21,-5.728573047804e-22,-5.941970522985e-22,-2.885555816280e-23,-6.516169803424e-24,-6.113912539153e-20,-3.313207173762e-23
MSW1_000.brine_aquifer2_4,1.461000000000e+03,-1.847454924352e-23,-2.809467844971e-20,-1.924835979694e-19,-5.196557118195e-23,-6.988850573971e-22,-6.666032667818e-22,-9.893218011132e-23,-2.346722708501e-20,-4.109090982217e-20,-2.134683395419e-21,-3.524052348649e-20,-8.673196549996e-23,-4.605436278300e-22,-4.067660184969e-21,-1.114670256730e-19,-2.872004911562e-21,-3.926574236311e-21,-1.411250810892e-21,-3.047676307103e-20,-1.472549888482e-21,-3.188518339969e-22,-9.127519442595e-21,-1.689623938658e-20,-5.338208285691e-21,-6.115004943874e-22,-6.339150648888e-22,-3.078779899443e-23,-6.952015453559e-24,-6.524689136353e-20,-3.535756544779e-23
MSW1_000.brine_aquifer2_5,1.826250000000e+03,-1.963502526486e-23,-2.985926582860e-20,1.113648266325e-17,-5.522335717933e-23,-7.430429763773e-22,-7.087743163126e-22,-1.051438064645e-22,-2.494639551648e-20,-4.369208872699e-20,-2.269437108287e-21,-3.745980457190e-20,-9.221059832375e-23,-4.894420433267e-22,-4.323470421592e-21,2.372106946471e-18,-3.051938562017e-21,-4.173973736570e-21,-1.500037943939e-21,-3.238848050291e-20,-1.565654900998e-21,-3.390129247149e-22,-9.699046999060e-21,-1.796260469636e-20,-5.674958510811e-21,-6.500680766069e-22,-6.736012272201e-22,-3.271806767380e-23,-7.387478999193e-24,-6.934869551923e-20,-3.757990371434e-23
MSW1_000.brine_aquifer2_6,2.191500000000e+03,-2.011224297169e-23,-3.058482104061e-20,2.431616140556e-17,-5.656020524275e-23,-7.613143507969e-22,-7.262465499833e-22,-1.076969301323e-22,-2.555688254647e-20,-4.477052942647e-20,-2.325141189906e-21,-3.837489189943e-20,-9.447693407469e-23,-5.013122305828e-22,-4.428796270036e-21,1.199395691113e-17,-3.125724469571e-21,-4.276038680551e-21,-1.536610176455e-21,1.763551174194e-18,-1.604207322297e-21,-3.473615629344e-22,-9.933274987392e-21,-1.840331801271e-20,-5.814063679040e-21,-6.659962629671e-22,-6.898625594013e-22,-3.351021960811e-23,-7.566008082805e-24,6.331288992846e-18,-3.849437222979e-23
MSW1_000.brine_aquifer2_7,2.556750000000e+03,-2.057585282790e-23,2.678563511025e-18,3.601359554776e-17,-5.785947147960e-23,-7.790453308445e-22,-7.431980368489e-22,-1.101775402267e-22,-2.614958608786e-20,-4.581669782631e-20,-2.379207152552e-21,-1.883837352004e-20,-9.667633990820e-23,-5.128467082199e-22,-4.531098513238e-21,2.053890120930e-17,-3.197445040668e-21,-4.375138000567e-21,-1.572129674093e-21,7.229251299096e-18,-1.641614588732e-21,-3.554621413770e-22,-1.016097120743e-20,-1.883108789654e-20,-5.949095514681e-21,-6.814586269627e-22,-7.056709868153e-22,-3.428008622185e-23,-7.739538993027e-24,1.325606558777e-17,-3.938267274990e-23
MSW1_000.brine_aquifer2_8,2.922000000000e+03,-2.103044008751e-23,6.550720687747e-18,4.667562245965e-17,-5.913378999032e-23,-7.964159000660e-22,-7.598019072263e-22,-1.126099681760e-22,-2.673044665770e-20,-4.684132144876e-20,-2.432181233098e-21,3.102381865351e-18,-9.883110114486e-23,-5.241581107841e-22,-4.631390048601e-21,2.833184664925e-17,-3.267795261765e-21,-4.472262801737e-21,-1.606949008373e-21,1.221738531912e-17,-1.678257868033e-21,-3.633972192669e-22,1.274125936957e-18,-1.925023178359e-20,-6.081413471592e-21,-6.966106234959e-22,-7.211791540472e-22,-3.503518634552e-23,-7.909778874159e-24,1.957357723574e-17,-4.025359984117e-23
MSW1_000.brine_aquifer2_9,3.287250000000e+03,-2.147890751213e-23,1.014766780131e-17,5.656518642447e-17,-6.039123427324e-23,-8.135411828499e-22,-7.761689714207e-22,-1.150097939833e-22,8.132464184645e-19,-4.785125677697e-20,-2.484412502493e-21,6.002455922697e-18,-1.009555158886e-22,-5.353186683522e-22,-4.730317939281e-21,3.556397461208e-17,-3.337219557375e-21,-4.568046588672e-21,-1.641293497692e-21,1.684954163427e-17,-1.714380794959e-21,-3.712195516772e-22,3.760600485963e-18,-1.966350881348e-20,-6.211886233543e-21,-7.115517229965e-22,-7.364844854189e-22,-3.578026547050e-23,-8.077775432092e-24,2.543831644871e-17,-4.111273099671e-23
