Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_001.CO2_aquifer1_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_001.CO2_aquifer1_1,3.652500000000e+02,5.035589735887e-12,2.962924546762e-13,2.436106193208e-13,9.028895243089e-14,8.556828412949e-14,2.500664461581e-12,3.201231276183e-13,2.059848492025e-12,1.200997144309e-13,1.037860093610e-13,1.802872089106e-12,3.810219200611e-13,1.317376365548e-12,1.798953480513e-13,2.716449645270e-12,6.293456370544e-12,4.528635435490e-12,9.552544523336e-13,4.436716595811e-13,4.946814834197e-13,3.852889555716e-12,2.174610285254e-13,5.899741996211e-13,1.442224278034e-13,3.192401896479e-12,1.487668944853e-12,7.423284908128e-14,1.078292900976e-12,6.665745845723e-13,7.677500025358e-13
MSW1_001.CO2_aquifer1_2,7.305000000000e+02,1.919505327296e-11,1.129430661854e-12,9.286139375596e-13,3.441704629642e-13,3.261758517552e-13,9.532227616133e-12,1.220270277545e-12,7.851890961164e-12,4.578054479948e-13,3.956195960869e-13,6.872328288968e-12,1.452409038931e-12,5.021677863905e-12,6.857391027204e-13,1.035477439450e-11,2.398988730295e-11,1.726260538588e-11,3.641313343320e-12,1.691222197104e-12,1.885665417373e-12,1.468674460497e-11,8.289348901378e-13,2.248909616930e-12,5.497582861471e-13,1.216904626499e-11,5.670812383523e-12,2.829665573437e-13,4.110320886277e-12,2.540900932011e-12,2.926569272625e-12
MSW1_001.CO2_aquifer1_3,1.095750000000e+03,4.581689606975e-11,2.695851189122e-12,2.216519413028e-12,8.215044828531e-13,7.785529359385e-13,2.275258503109e-11,2.912677324867e-12,1.874176991754e-11,1.092741150845e-12,9.443090174123e-13,1.640364037942e-11,3.466772035373e-12,1.198630133333e-11,1.636798643694e-12,2.471593152573e-11,5.726174119214e-11,4.120431376639e-11,8.691493196310e-12,4.036797942591e-12,4.500916726599e-12,3.505596173288e-11,1.978594334829e-12,5.367948533384e-12,1.312224450227e-12,2.904643816267e-11,1.353572806697e-11,6.754161683567e-13,9.810972753359e-12,6.064906001270e-12,6.985462252068e-12
MSW1_001.CO2_aquifer1_4,1.461000000000e+03,7.364563988078e-11,4.333285373793e-12,3.562812068943e-12,1.320478435232e-12,1.251438530171e-12,3.657228722158e-11,4.681809627121e-12,3.012534143532e-11,1.756461656679e-12,1.517873267608e-12,2.636705442037e-11,5.572456155847e-12,1.926666593886e-11,2.630974458487e-12,3.972815159622e-11,9.204197425466e-11,6.623141934944e-11,1.397062290441e-11,6.488710339721e-12,7.234730424964e-12,5.634861725613e-11,3.180373577661e-12,8.628389044693e-12,2.109257009359e-12,4.668896647271e-11,2.175719961860e-11,1.085657478131e-12,1.577006361161e-11,9.748671801748e-12,1.122836510126e-11
MSW1_001.CO2_aquifer1_5,1.826250000000e+03,1.026812847105e-10,6.041733215891e-12,4.967491905316e-12,1.841092320106e-12,1.744832634453e-12,5.099133418890e-11,6.527667184333e-12,4.200260551585e-11,2.448966965498e-12,2.116312346681e-12,3.676257041334e-11,7.769461400362e-12,2.686277168107e-11,3.668266547113e-12,5.539143460866e-11,1.283305864937e-10,9.234392214282e-11,1.947870246814e-11,9.046959388594e-12,1.008710651249e-11,7.856471118536e-11,4.434272618639e-12,1.203023115089e-11,2.940855963549e-12,6.509663119765e-11,3.033522703865e-11,1.513690486671e-12,2.198759346120e-11,1.359219833350e-11,1.565527782034e-11
MSW1_001.CO2_aquifer1_6,2.191500000000e+03,1.083754964520e-10,6.376778771471e-12,5.242965188475e-12,1.943190472589e-12,1.841592686298e-12,5.381906909858e-11,6.889660307881e-12,4.433186863241e-11,2.584774931184e-12,2.233672882242e-12,3.880124630883e-11,8.200318476933e-12,2.835245220100e-11,3.871691021401e-12,5.846317799766e-11,1.354471855229e-10,9.746487333984e-11,2.055889791403e-11,9.548660378760e-12,1.064648907448e-11,8.292153342626e-11,4.680176116804e-12,1.269737008856e-11,3.103941734588e-12,6.870657825466e-11,3.201747328122e-11,1.597632503286e-12,2.320691997012e-11,1.434595648198e-11,1.652344446557e-11
MSW1_001.CO2_aquifer1_7,2.556750000000e+03,1.141750321409e-10,6.718021553562e-12,5.523533809579e-12,2.047177100732e-12,1.940142476726e-12,5.669910768336e-11,7.258349098167e-12,4.670421535670e-11,2.723094891762e-12,2.353204196701e-12,4.087763091668e-11,8.639144973931e-12,2.986968684758e-11,4.078878170717e-12,6.159173840619e-11,1.426954179259e-10,1.026805450754e-10,2.165907337696e-11,1.005964116576e-11,1.121621835017e-11,8.735894236690e-11,4.930628010406e-12,1.337684887387e-11,3.270044049038e-12,7.238329730586e-11,3.373083547460e-11,1.683127167538e-12,2.444879995707e-11,1.511365664492e-11,1.740766930129e-11
MSW1_001.CO2_aquifer1_8,2.922000000000e+03,1.200798917794e-10,7.065461562163e-12,5.809197768626e-12,2.153052204535e-12,2.040482005736e-12,5.963144994329e-11,7.633733555191e-12,4.911964568874e-11,2.863926847233e-12,2.474906290059e-12,4.299172423692e-11,9.085940891357e-12,3.141447562082e-11,4.289827995059e-12,6.477711583431e-11,1.500752837031e-10,1.079909373512e-10,2.277922885695e-11,1.057990174958e-11,1.179629433956e-11,9.187693800757e-11,5.185628299447e-12,1.406866750683e-11,3.439162906898e-12,7.612678835134e-11,3.547531361881e-11,1.770174479428e-12,2.571323342206e-11,1.589529882232e-11,1.830795232753e-11
MSW1_001.CO2_aquifer1_9,3.287250000000e+03,1.260900753665e-10,7.419098797277e-12,6.099957065617e-12,2.260815783999e-12,2.142611273328e-12,6.261609587839e-11,8.015813678955e-12,5.157815962857e-11,3.007270797595e-12,2.598779162316e-12,4.514352626958e-11,9.540706229211e-12,3.298681852074e-11,4.504540494428e-12,6.801931028210e-11,1.575867828532e-10,1.133960501696e-10,2.391936435400e-11,1.110944213025e-11,1.238671704265e-11,9.647552035284e-11,5.445176983926e-12,1.477282598743e-11,3.611298308168e-12,7.993705139113e-11,3.725090771385e-11,1.858774438956e-12,2.700022036508e-11,1.669088301419e-11,1.922429354427e-11
