Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_001.brine_aquifer2_10,3.652500000000e+03,2.016193578412e-17,-4.216158813034e-22,-1.899827030072e-22,-6.227065223910e-23,-1.661298541862e-23,-2.268666736309e-20,-4.822535236760e-22,-2.339034489840e-20,-2.306586146035e-23,-1.249179054418e-22,-2.639348215824e-20,-2.164205380809e-22,-1.026894289535e-20,-2.256389447522e-22,-4.637564620678e-20,3.654697961620e-17,1.448708178357e-17,-9.024648529287e-21,-1.713173024262e-21,-4.297394722977e-22,7.905275621055e-18,-1.309416658030e-22,-6.461036561278e-22,-6.901946205386e-23,2.798615457099e-18,-4.359878620343e-21,-5.670604590260e-23,-3.050657156084e-21,-1.058208488016e-21,-2.307598846223e-21
MSW1_001.brine_aquifer2_11,4.017750000000e+03,2.695515037649e-17,-4.351668353257e-22,-1.960791186903e-22,-6.427583188958e-23,-1.714538024799e-23,1.078276527857e-18,-4.977521259694e-22,-2.414253737938e-20,-2.380408735622e-23,-1.289474069456e-22,-2.724359229490e-20,-2.233453563222e-22,-1.059926824283e-20,-2.329019994325e-22,2.508234145653e-18,4.598414681222e-17,2.029350237705e-17,-9.315563076193e-21,-1.768368635724e-21,-4.434981925609e-22,1.247616800138e-17,-1.351411421800e-22,-6.667938506461e-22,-7.123455882381e-23,6.262877647887e-18,-4.499525933229e-21,-5.853430500616e-23,-3.148475711116e-21,-1.092127189662e-21,-2.381706263900e-21
MSW1_001.brine_aquifer2_12,4.383000000000e+03,3.339915933647e-17,-4.487568379627e-22,-2.021934809591e-22,-6.628663833699e-23,-1.767936512511e-23,3.370002082183e-18,-5.132954468154e-22,3.427340115816e-19,-2.454456890124e-23,-1.329879894800e-22,-2.809608666504e-20,-2.302912519407e-22,-1.093053578605e-20,-2.401856138002e-22,5.097978427838e-18,5.493203805091e-17,2.580246966641e-17,-9.607284923627e-21,-1.823718444841e-21,-4.572984266293e-22,1.681402604800e-17,-1.393530677682e-22,-6.875464144797e-22,-7.345616369624e-23,9.551644691621e-18,-4.639593117331e-21,-6.036762391287e-23,-3.246584862784e-21,-1.126147062718e-21,-2.456029484339e-21
MSW1_001.brine_aquifer2_13,4.748250000000e+03,3.956428854920e-17,-4.623975495649e-22,-2.083309174093e-22,-6.830485268134e-23,-1.821539611021e-23,5.564947025016e-18,-5.288968228937e-22,1.989730440743e-18,-2.528788541514e-23,-1.370432460599e-22,2.958913941329e-19,-2.372639688301e-22,-1.126303178291e-20,-2.474960864165e-22,7.578066912934e-18,6.348885282507e-17,3.107397864120e-17,-9.900070944423e-21,-1.879271065167e-21,-4.711518102011e-22,2.096595366319e-17,-1.435809554638e-22,-7.083786532648e-22,-7.568615021578e-23,1.270047314899e-17,-4.780197219888e-21,-6.220762348537e-23,-3.345066849837e-21,-1.160296654090e-21,-2.530631813626e-21
MSW1_001.brine_aquifer2_14,5.113500000000e+03,4.550130255262e-17,-4.760979680768e-22,-2.144954216493e-22,-7.033180612540e-23,-1.875379984100e-23,7.680924020583e-18,-5.445665093960e-22,3.577818661296e-18,-2.603454226193e-23,-1.411158945575e-22,1.599368054581e-18,-2.442679196809e-22,-1.159697573397e-20,-2.548382983583e-22,9.968658387591e-18,7.172547458356e-17,3.615133683662e-17,-1.019411756495e-20,-1.935063499207e-21,-4.850669714425e-22,2.496595288071e-17,-1.478275539540e-22,-7.293037804215e-22,-7.792596051879e-23,1.573502869277e-17,-4.921427678003e-21,-6.405553015585e-23,-3.443984978364e-21,-1.194597756059e-21,-2.605562013228e-21
MSW1_001.brine_aquifer2_15,5.478750000000e+03,5.124817064639e-17,-4.898649467276e-22,-2.206900998190e-22,-7.236854021209e-23,-1.929485981437e-23,9.731256039148e-18,-5.603123456275e-22,5.116968083778e-18,-2.678488456826e-23,-1.452080488735e-22,2.862839724208e-18,-2.513064818039e-22,-1.193253744153e-20,-2.622159720629e-22,1.228483083544e-17,7.969491809321e-17,4.106693677826e-17,-1.048957693674e-20,-1.991124688298e-21,-4.990508621903e-22,2.883945654222e-17,-1.520950079543e-22,-7.503320018377e-22,-8.017672859280e-23,1.867450842447e-17,6.115223432706e-19,-6.591232383747e-23,-3.543388354955e-21,-1.229067329136e-21,-2.680857455428e-21
MSW1_001.brine_aquifer2_16,5.844000000000e+03,5.683560603413e-17,-4.954952442234e-22,-2.232193111407e-22,-7.320314272386e-23,-1.951546353392e-23,1.172663659791e-17,-5.667513734626e-22,6.615305616343e-18,-2.709038327976e-23,-1.468879528231e-22,4.093106437267e-18,-2.541715753079e-22,3.874726756620e-19,-2.652379749313e-22,1.453909117223e-17,8.743905028566e-17,4.584832603876e-17,-1.061078294964e-20,-2.014109827101e-21,-5.047467337489e-22,3.260960734414e-17,-1.538363074690e-22,-7.588990312684e-22,-8.109582550309e-23,2.153454876492e-17,1.537410281685e-18,-6.667415393073e-23,-3.583941228902e-21,-1.243124189517e-21,-2.711625101492e-21
MSW1_001.brine_aquifer2_17,6.209250000000e+03,6.219098471953e-17,-5.010913495293e-22,-2.257334601494e-22,-7.403256217297e-23,-1.973477302854e-23,1.364111097461e-17,-5.731513773347e-22,8.053201871566e-18,-2.739413170612e-23,-1.485572441283e-22,5.273903305490e-18,-2.570201520366e-22,1.129765826930e-18,-2.682413039830e-22,1.670172512318e-17,9.485840519529e-17,5.043196826159e-17,-1.073122958531e-20,-2.036951738346e-21,-5.104094238456e-22,3.622475229589e-17,-1.555673148141e-22,-7.674161652468e-22,-8.200943736490e-23,2.427776453264e-17,2.426230807563e-18,-6.743121388071e-23,-3.624254387741e-21,-1.257098318112e-21,-2.742207611762e-21
MSW1_001.brine_aquifer2_18,6.574500000000e+03,6.734467239051e-17,-5.066593763174e-22,-2.282352339027e-22,-7.485773533174e-23,-1.995301016538e-23,1.548531632925e-17,-5.795193090807e-22,9.438612383093e-18,-2.769642567020e-23,-1.502178086597e-22,6.411746606113e-18,-2.598551948705e-22,1.845252794582e-18,-2.712293118767e-22,1.878477337009e-17,1.019954043348e-16,5.484376132586e-17,-1.085105114731e-20,-2.059675862797e-21,-5.160450954563e-22,3.970521604765e-17,-1.572898665564e-22,-7.758924263696e-22,-8.291855025436e-23,2.691949200107e-17,3.282871510297e-18,-6.818433568914e-23,2.009235406264e-19,-1.271004604668e-21,-2.772638167700e-21
MSW1_001.brine_aquifer2_19,6.939750000000e+03,7.232111520674e-17,-5.122044768354e-22,-2.307269003757e-22,-7.567943257214e-23,-2.017038448560e-23,1.726781606821e-17,-5.858609865497e-22,1.077794159135e-17,-2.799754866886e-23,-1.518712056503e-22,7.511882034399e-18,-2.626792429555e-22,2.537213320982e-18,-2.742047596257e-22,2.079792928706e-17,1.088841990905e-16,5.910455459297e-17,-1.097035985113e-20,-2.082303327135e-21,-5.216586296578e-22,4.306736117876e-17,-1.590055034398e-22,-7.843353581192e-22,-8.382397768428e-23,2.947207777642e-17,4.111266835031e-18,-6.893422193526e-23,7.153784332108e-19,-1.284855572353e-21,-2.802944576652e-21
