Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
FGenAq1_000.TDS_volume_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
FGenAq1_000.TDS_volume_1,3.652500000000e+02,1.033211545357e-02,1.031019675249e-02,1.028801769628e-02,1.033151841965e-02,1.033067651839e-02,1.033093468899e-02,1.033130473908e-02,1.031810731757e-02,1.031969931240e-02,1.032886602417e-02,1.031324236611e-02,1.033196200217e-02,1.032951719562e-02,1.032514061836e-02,1.029657919435e-02,1.032341045729e-02,1.032649584733e-02,1.032841079355e-02,1.030599791293e-02,1.032994721138e-02,1.033141769396e-02,1.031516457579e-02,1.032172618799e-02,1.032625026742e-02,1.033046691286e-02,1.032798313049e-02,1.033179404792e-02,1.033222015025e-02,1.030136795525e-02,1.033194286250e-02
FGenAq1_000.TDS_volume_2,7.305000000000e+02,1.033265602805e-02,1.033141678440e-02,1.033002491620e-02,1.033262407547e-02,1.033257884595e-02,1.033259273705e-02,1.033261261494e-02,1.033187970434e-02,1.033197072973e-02,1.033248089947e-02,1.033159710267e-02,1.033264782517e-02,1.033251623447e-02,1.033227643405e-02,1.033057858236e-02,1.033218013868e-02,1.033235126968e-02,1.033245612556e-02,1.033116389972e-02,1.033253950278e-02,1.033261867477e-02,1.033170956149e-02,1.033208558334e-02,1.033233774738e-02,1.033256755403e-02,1.033243279836e-02,1.033263883936e-02,1.033266162088e-02,1.033087929345e-02,1.033264680157e-02
FGenAq1_000.TDS_volume_3,1.095750000000e+03,1.033327629993e-02,1.035565624696e-02,1.037779222794e-02,1.033389258391e-02,1.033476099180e-02,1.033449477231e-02,1.033411306281e-02,1.034763728270e-02,1.034601556253e-02,1.033662595803e-02,1.035257663719e-02,1.033343473492e-02,1.033595559251e-02,1.034045259614e-02,1.036930774790e-02,1.034222481076e-02,1.033906223003e-02,1.033709434199e-02,1.035988610268e-02,1.033551265665e-02,1.033399652021e-02,1.035062798694e-02,1.034394699922e-02,1.033931432033e-02,1.033497708045e-02,1.033753416314e-02,1.033360811531e-02,1.033316818880e-02,1.036452900215e-02,1.033345449445e-02
FGenAq1_000.TDS_volume_4,1.461000000000e+03,1.033397969611e-02,1.038302658033e-02,1.043149690056e-02,1.033533092039e-02,1.033723487568e-02,1.033665120575e-02,1.033581431960e-02,1.036545767811e-02,1.036190393948e-02,1.034132351735e-02,1.037628006129e-02,1.033432707376e-02,1.033985388436e-02,1.034971181819e-02,1.041292343186e-02,1.035359620736e-02,1.034666417684e-02,1.034235032454e-02,1.039229163688e-02,1.033888281967e-02,1.033555880094e-02,1.037201072018e-02,1.035737067809e-02,1.034721676431e-02,1.033770863203e-02,1.034331449711e-02,1.033470721737e-02,1.033374265503e-02,1.040245970250e-02,1.033437039746e-02
FGenAq1_000.TDS_volume_5,1.826250000000e+03,1.033476964177e-02,1.041363680541e-02,1.049123420449e-02,1.033694605307e-02,1.034001239590e-02,1.033907243201e-02,1.033772461209e-02,1.038541745704e-02,1.037970514208e-02,1.034659581811e-02,1.040280462951e-02,1.033532918119e-02,1.034422967162e-02,1.036009651975e-02,1.046156039130e-02,1.036634562189e-02,1.035519235935e-02,1.034824885891e-02,1.042850428429e-02,1.034266609882e-02,1.033731307900e-02,1.039594712253e-02,1.037241625279e-02,1.035608164227e-02,1.034077532255e-02,1.034980095669e-02,1.033594148284e-02,1.033438781943e-02,1.044480953626e-02,1.033539896400e-02
FGenAq1_000.TDS_volume_6,2.191500000000e+03,1.033559083170e-02,1.044531181692e-02,1.055268269413e-02,1.033862485708e-02,1.034289889905e-02,1.034158879788e-02,1.033971012225e-02,1.040610573608e-02,1.039816221509e-02,1.035207290366e-02,1.043026933171e-02,1.033637089074e-02,1.034877604438e-02,1.037087613578e-02,1.051168490599e-02,1.037957507072e-02,1.036404737656e-02,1.035437591530e-02,1.046593210848e-02,1.034659722088e-02,1.033913647506e-02,1.042074188840e-02,1.038802279959e-02,1.036528578348e-02,1.034396220171e-02,1.035653810985e-02,1.033722447966e-02,1.033505851645e-02,1.048851038186e-02,1.033646817397e-02
FGenAq1_000.TDS_volume_7,2.556750000000e+03,1.033644359943e-02,1.047803833078e-02,1.061584826180e-02,1.034036800060e-02,1.034589550119e-02,1.034420128506e-02,1.034177163464e-02,1.042752721787e-02,1.041727970634e-02,1.035775675925e-02,1.045867872856e-02,1.033745262331e-02,1.035349468989e-02,1.038205405140e-02,1.056330447682e-02,1.039328841851e-02,1.037323216346e-02,1.036073367774e-02,1.050455480147e-02,1.035067766730e-02,1.034102971237e-02,1.044639979923e-02,1.040419455038e-02,1.037483220943e-02,1.034727049270e-02,1.036352832018e-02,1.033855672330e-02,1.033575501945e-02,1.053356113290e-02,1.033757845913e-02
FGenAq1_000.TDS_volume_8,2.922000000000e+03,1.033732827829e-02,1.051181302194e-02,1.068073340868e-02,1.034217615101e-02,1.034900331587e-02,1.034691087334e-02,1.034390993258e-02,1.044968650302e-02,1.043706208002e-02,1.036364936152e-02,1.048801717523e-02,1.033857479950e-02,1.035838728936e-02,1.039363362028e-02,1.061642410332e-02,1.040748948398e-02,1.038274963333e-02,1.036732431951e-02,1.054437888956e-02,1.035490891502e-02,1.034299351321e-02,1.047291713633e-02,1.042093567503e-02,1.038472391824e-02,1.035070141572e-02,1.037077393841e-02,1.033993872873e-02,1.033647760164e-02,1.057996775156e-02,1.033873025087e-02
FGenAq1_000.TDS_volume_9,3.287250000000e+03,1.033824520138e-02,1.054664175540e-02,1.074733845777e-02,1.034404997479e-02,1.035222345414e-02,1.034971854062e-02,1.034612579823e-02,1.047258261558e-02,1.045751371610e-02,1.036975267831e-02,1.051829057101e-02,1.033973783954e-02,1.036345551785e-02,1.040561816427e-02,1.067104715943e-02,1.042218203941e-02,1.039260267740e-02,1.037415000299e-02,1.058540984794e-02,1.035929243634e-02,1.034502859882e-02,1.050029061960e-02,1.043825028075e-02,1.039496388438e-02,1.035425618788e-02,1.037827730216e-02,1.034137101041e-02,1.033722653613e-02,1.062773487266e-02,1.033992398023e-02
