Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_001.brine_aquifer1_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_001.brine_aquifer1_1,3.652500000000e+02,8.288034198767e-12,4.876652240970e-13,4.009566406033e-13,1.486058167382e-13,1.408361090428e-13,4.115822309516e-12,5.268879254428e-13,3.390287064919e-12,1.976710956597e-13,1.708205076245e-13,2.967331795116e-12,6.271207285204e-13,2.168258524331e-12,2.960882190443e-13,4.470981303138e-12,1.035834616431e-11,7.453642440021e-12,1.572245155874e-12,7.302354004739e-13,8.141920344595e-13,6.341438060308e-12,3.579172521408e-13,9.710335033122e-13,2.373744638589e-13,5.254347054022e-12,2.448541628144e-12,1.221792131764e-13,1.774753089057e-12,1.097109423587e-12,1.263633181106e-12
MSW1_001.brine_aquifer1_2,7.305000000000e+02,8.193910055456e-12,4.821269899076e-13,3.964031238212e-13,1.469181552502e-13,1.392366852577e-13,4.069080434334e-12,5.209042534945e-13,3.351784826179e-12,1.954262178782e-13,1.688805620844e-13,2.933632903754e-12,6.199987495449e-13,2.143634412239e-12,2.927256542806e-13,4.420206020177e-12,1.024071024919e-11,7.368994181309e-12,1.554389747845e-12,7.219423862986e-13,8.049455556241e-13,6.269420700952e-12,3.538525178266e-13,9.600058337360e-13,2.346786895610e-13,5.194675374761e-12,2.420734443634e-12,1.207916688853e-13,1.754597872554e-12,1.084649956284e-12,1.249282564966e-12
MSW1_001.brine_aquifer1_3,1.095750000000e+03,7.666165586828e-12,4.510746772368e-13,3.708720209930e-13,1.374556099167e-13,1.302688797132e-13,3.807003514295e-12,4.873544168586e-13,3.135906704509e-12,1.828394178047e-13,1.580034858592e-13,2.744686658430e-12,5.800665419475e-13,2.005569531361e-12,2.738720975706e-13,4.135514187341e-12,9.581137688508e-12,6.894380008810e-12,1.454276298622e-12,6.754443036298e-13,7.531014945807e-13,5.865626672709e-12,3.310619683127e-13,8.981748183551e-13,2.195637588320e-13,4.860102358662e-12,2.264822403337e-12,1.130118499741e-13,1.641589634510e-12,1.014790997383e-12,1.168820127584e-12
MSW1_001.brine_aquifer1_4,1.461000000000e+03,7.099160669061e-12,4.177122926598e-13,3.434415851314e-13,1.272891183006e-13,1.206339330200e-13,3.525429928865e-12,4.513087102397e-13,2.903968780460e-12,1.693162490492e-13,1.463172322805e-13,2.541684151275e-12,5.371636612293e-13,1.857233601930e-12,2.536159699115e-13,3.829643299172e-12,8.872497604033e-12,6.384457902612e-12,1.346715118316e-12,6.254870932400e-13,6.974006029716e-13,5.431793225793e-12,3.065759635027e-13,8.317440138094e-13,2.033243844241e-13,4.500639480931e-12,2.097311612563e-12,1.046532676953e-13,1.520174384717e-12,9.397350272260e-13,1.082371855287e-12
MSW1_001.brine_aquifer1_5,1.826250000000e+03,6.492895301951e-12,3.820398361756e-13,3.141118162360e-13,1.164186804019e-13,1.103318451783e-13,3.224359677983e-12,4.127671336366e-13,2.655971053971e-12,1.548567116116e-13,1.338218013480e-13,2.324625382218e-12,4.912901073898e-13,1.698626623919e-12,2.319572713027e-13,3.502593355546e-12,8.114789995619e-12,5.839227862357e-12,1.231706206902e-12,5.720707551245e-13,6.378428807960e-13,4.967920359709e-12,2.803945033962e-13,7.607134200972e-13,1.859605663369e-13,4.116286741452e-12,1.918202071300e-12,9.571592204876e-14,1.390352123169e-12,8.594820458106e-13,9.899377480706e-13
MSW1_001.brine_aquifer1_6,2.191500000000e+03,6.451583308511e-12,3.796090519078e-13,3.121132339151e-13,1.156779495396e-13,1.096298426934e-13,3.203844218893e-12,4.101408424504e-13,2.639072050562e-12,1.538714131588e-13,1.329703405872e-13,2.309834614121e-12,4.881642023049e-13,1.687818864053e-12,2.304814092780e-13,3.480307594518e-12,8.063158459783e-12,5.802074924693e-12,1.223869296385e-12,5.684308713965e-13,6.337845122822e-13,4.936311244338e-12,2.786104524033e-13,7.558732698293e-13,1.847773650648e-13,4.090096266548e-12,1.905997230447e-12,9.510691551111e-14,1.381505804707e-12,8.540134657392e-13,9.836391245587e-13
MSW1_001.brine_aquifer1_7,2.556750000000e+03,6.406845130583e-12,3.769766720681e-13,3.099489004206e-13,1.148757866269e-13,1.088696200721e-13,3.181627322998e-12,4.072967414484e-13,2.620771538833e-12,1.528043995958e-13,1.320482644611e-13,2.293817182871e-12,4.847790522390e-13,1.676114769367e-12,2.288831475601e-13,3.456173577744e-12,8.007244894788e-12,5.761840731086e-12,1.215382436580e-12,5.644891161870e-13,6.293895655165e-13,4.902080646335e-12,2.766784422584e-13,7.506317047287e-13,1.834960357361e-13,4.061733700904e-12,1.892780188751e-12,9.444740139753e-14,1.371925822356e-12,8.480913524019e-13,9.768181286450e-13
MSW1_001.brine_aquifer1_8,2.922000000000e+03,6.358680768301e-12,3.741426966566e-13,3.076188157526e-13,1.140121916639e-13,1.080511773143e-13,3.157708990299e-12,4.042348306306e-13,2.601069518786e-12,1.516556709226e-13,1.310555729698e-13,2.276573088470e-12,4.811346571922e-13,1.663514339861e-12,2.271624861490e-13,3.430191305227e-12,7.947049300654e-12,5.718525281640e-12,1.206245627489e-12,5.602454894962e-13,6.246580404988e-13,4.865228565712e-12,2.745984729614e-13,7.449887247955e-13,1.821165783508e-13,4.031199044522e-12,1.878550946213e-12,9.373737970804e-14,1.361612176118e-12,8.417157057990e-13,9.694747603297e-13
MSW1_001.brine_aquifer1_9,3.287250000000e+03,6.307090221575e-12,3.711071256732e-13,3.051229799111e-13,1.130871646506e-13,1.071745144200e-13,3.132089220796e-12,4.009551099970e-13,2.579965990420e-12,1.504252271393e-13,1.299922661132e-13,2.258102330919e-12,4.772310171643e-13,1.650017575535e-12,2.253194250447e-13,3.402360776970e-12,7.882571677278e-12,5.672128576458e-12,1.196458869111e-12,5.556999913240e-13,6.195899372292e-13,4.825755002723e-12,2.723705445124e-13,7.389443300297e-13,1.806389929088e-13,3.998492297405e-12,1.863309502832e-12,9.297685044263e-14,1.350564865990e-12,8.348865259303e-13,9.616090196129e-13
