Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_000.brine_aquifer1_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_000.brine_aquifer1_1,3.652500000000e+02,1.253497793524e-13,4.936870578072e-12,9.805797246363e-12,2.564053991975e-13,4.412124484382e-13,3.845409813751e-13,3.033107175542e-13,3.200340791224e-12,2.850869487491e-12,8.386380808066e-13,4.268292654229e-12,1.590340593195e-13,6.956977852891e-13,1.656415569525e-12,7.926277330747e-12,2.036212014800e-12,1.358923460030e-12,9.385670382296e-13,5.858614369788e-12,6.013040556641e-13,2.785158310145e-13,3.846328628473e-12,2.405936005067e-12,1.412831685407e-12,4.872233397404e-13,1.032444660737e-12,1.959018897095e-13,1.023677076562e-13,6.875009297703e-12,1.632354295279e-13
MSW1_000.brine_aquifer1_2,7.305000000000e+02,9.978196046273e-14,3.929888258104e-12,7.805691295072e-12,2.041059309236e-13,3.512175557150e-13,3.061054692309e-13,2.414438875415e-13,2.547561558996e-12,2.269372548878e-12,6.675795708793e-13,3.397681372778e-12,1.265955975671e-13,5.537950627446e-13,1.318553521913e-12,6.309540392992e-12,1.620882205914e-12,1.081741410513e-12,7.471258397104e-13,4.663622319351e-12,4.786549914894e-13,2.217064584741e-13,3.061786095612e-12,1.915192936916e-12,1.124653879148e-12,3.878435231188e-13,8.218550752224e-13,1.559434305720e-13,8.148758306897e-14,5.472701366444e-12,1.299400067549e-13
MSW1_000.brine_aquifer1_3,1.095750000000e+03,1.002198704696e-13,3.947135237892e-12,7.839947895588e-12,2.050016843166e-13,3.527589333645e-13,3.074488648598e-13,2.425035048720e-13,2.558741964217e-12,2.279332074993e-12,6.705093567613e-13,3.412592672820e-12,1.271511837562e-13,5.562254860337e-13,1.324340217101e-12,6.337230880448e-12,1.627995721627e-12,1.086488815703e-12,7.504047278277e-13,4.684089415191e-12,4.807556498929e-13,2.226794547647e-13,3.075223261839e-12,1.923598085359e-12,1.129589612995e-12,3.895456400177e-13,8.254619252087e-13,1.566278146876e-13,8.184520510686e-14,5.496719243279e-12,1.305102704480e-13
MSW1_000.brine_aquifer1_4,1.461000000000e+03,1.005275908585e-13,3.959254731166e-12,7.864020090018e-12,2.056311323267e-13,3.538420630567e-13,3.083928721217e-13,2.432481004554e-13,2.566598461295e-12,2.286330657546e-12,6.725681241811e-13,3.423070878493e-12,1.275415954745e-13,5.579333501805e-13,1.328406541399e-12,6.356689051448e-12,1.632994405814e-12,1.089824828481e-12,7.527088102034e-13,4.698471691578e-12,4.822317874862e-13,2.233631815412e-13,3.084665590100e-12,1.929504402960e-12,1.133057964768e-12,3.907417215569e-13,8.279964671551e-13,1.571087330107e-13,8.209650695154e-14,5.513596661964e-12,1.309109960826e-13
MSW1_000.brine_aquifer1_5,1.826250000000e+03,1.007051216292e-13,3.966246737950e-12,7.877907879069e-12,2.059942749539e-13,3.544669447921e-13,3.089374910171e-13,2.436776742918e-13,2.571131050250e-12,2.290368296571e-12,6.737558731404e-13,3.429115989828e-12,1.277668327221e-13,5.589186551853e-13,1.330752494810e-12,6.367914906175e-12,1.635878258476e-12,1.091749448851e-12,7.540380868386e-13,4.706769148536e-12,4.830834042703e-13,2.237576388041e-13,3.090113080403e-12,1.932911889734e-12,1.135058934474e-12,3.914317677369e-13,8.294587010621e-13,1.573861855412e-13,8.224148860302e-14,5.523333622551e-12,1.311421836587e-13
MSW1_000.brine_aquifer1_6,2.191500000000e+03,1.004568657575e-13,3.956469241052e-12,7.858487450291e-12,2.054864627645e-13,3.535931213130e-13,3.081759056648e-13,2.430769658827e-13,2.564792759338e-12,2.284722135506e-12,6.720949461993e-13,3.420662614955e-12,1.274518649641e-13,5.575408222073e-13,1.327471955433e-12,6.352216875151e-12,1.631845530308e-12,1.089058094101e-12,7.521792500854e-13,4.695166133441e-12,4.818925185604e-13,2.232060367951e-13,3.082495407182e-12,1.928146921460e-12,1.132260814224e-12,3.904668194540e-13,8.274139391958e-13,1.569982008582e-13,8.203874884037e-14,5.509717632600e-12,1.308188950653e-13
MSW1_000.brine_aquifer1_7,2.556750000000e+03,1.001957487040e-13,3.946185209662e-12,7.838060923412e-12,2.049523427791e-13,3.526740284001e-13,3.073748655044e-13,2.424451370816e-13,2.558126105930e-12,2.278783468509e-12,6.703479730205e-13,3.411771303210e-12,1.271205799382e-13,5.560916090025e-13,1.324021463927e-12,6.335705589312e-12,1.627603882004e-12,1.086227310610e-12,7.502241141491e-13,4.682962010780e-12,4.806399376414e-13,2.226258584076e-13,3.074483091606e-12,1.923135098491e-12,1.129317734121e-12,3.894518809120e-13,8.252632460824e-13,1.565901161812e-13,8.182550591052e-14,5.495396250504e-12,1.304788581335e-13
MSW1_000.brine_aquifer1_8,2.922000000000e+03,9.992177046876e-14,3.935394643757e-12,7.816628298498e-12,2.043919149975e-13,3.517096660535e-13,3.065343705359e-13,2.417821878885e-13,2.551131090030e-12,2.272552295588e-12,6.685149536041e-13,3.402442054665e-12,1.267729776442e-13,5.545710155711e-13,1.320401020292e-12,6.318381048693e-12,1.623153313565e-12,1.083257098380e-12,7.481726790301e-13,4.670156780500e-12,4.793256615136e-13,2.220171036417e-13,3.066076133685e-12,1.917876420830e-12,1.126229694168e-12,3.883869521108e-13,8.230066217220e-13,1.561619315103e-13,8.160175981348e-14,5.480369476247e-12,1.301220728633e-13
MSW1_000.brine_aquifer1_9,3.287250000000e+03,9.963493105182e-14,3.924097543318e-12,7.794189575587e-12,2.038051794199e-13,3.507000342734e-13,3.056544207595e-13,2.410881183036e-13,2.543807711657e-12,2.266028616745e-12,6.665958879504e-13,3.392674869247e-12,1.264090580823e-13,5.529790419130e-13,1.316610624528e-12,6.300243253315e-12,1.618493824990e-12,1.080147457409e-12,7.460249447283e-13,4.656750442606e-12,4.779496901770e-13,2.213797724974e-13,3.057274533417e-12,1.912370888478e-12,1.122996694364e-12,3.872720330506e-13,8.206440661148e-13,1.557136468455e-13,8.136751054925e-14,5.464637309842e-12,1.297485392547e-13
MSW1_000.brine_aquifer1_10,3.652500000000e+03,9.933523045316e-14,3.912293908348e-12,7.770744754705e-12,2.031921360462e-13,3.496451330597e-13,3.047350161751e-13,2.403629283268e-13,2.536155970813e-12,2.259212432025e-12,6.645907760595e-13,3.382469746960e-12,1.260288212524e-13,5.513156880284e-13,1.312650276636e-12,6.281292203193e-12,1.613625416280e-12,1.076898387699e-12,7.437809112439e-13,4.642742997102e-12,4.765120236317e-13,2.207138649746e-13,3.048078290796e-12,1.906618501437e-12,1.119618734709e-12,3.861071237314e-13,8.181755792607e-13,1.552452621868e-13,8.112275811782e-14,5.448199751295e-12,1.293582573076e-13
MSW1_000.brine_aquifer1_11,4.017750000000e+03,9.905133384452e-14,3.901112709608e-12,7.748536239572e-12,2.026114200399e-13,3.486458595223e-13,3.038640941782e-13,2.396759794986e-13,2.528907726063e-12,2.252755682336e-12,6.626913989159e-13,3.372802767167e-12,1.256686352968e-13,5.497400471082e-13,1.308898768154e-12,6.263340490839e-12,1.609013731385e-12,1.073820649856e-12,7.416552114638e-13,4.629474200467e-12,4.751501689699e-13,2.200830724824e-13,3.039366989884e-12,1.901169452661e-12,1.116418903618e-12,3.850036431014e-13,8.158372621210e-13,1.548015766662e-13,8.089091211704e-14,5.432628987700e-12,1.289885559401e-13
