Index,ComponentNameList,Metrics,ThresholdValues,ReadResults,FileDirectory,FileName,Label
0,"FGenAq1_000, FGenAq1_001","TDS_volume, TDS_volume",1,1,examples/Control_Files/input_data/ex60b/,"FGenAq1_000.TDS_volume.csv, FGenAq1_001.TDS_volume.csv",TDS Plumes in the Thief Zone
1,"FGenAq1_000, FGenAq1_001","pH_volume, pH_volume",1,1,examples/Control_Files/input_data/ex60b/,"FGenAq1_000.pH_volume.csv, FGenAq1_001.pH_volume.csv",pH Plumes in the Thief Zone
2,"FGenAq2_000, FGenAq2_001","TDS_volume, TDS_volume",1,1,examples/Control_Files/input_data/ex60b/,"FGenAq2_000.TDS_volume.csv, FGenAq2_001.TDS_volume.csv",TDS Plumes in the USDW
3,"FGenAq2_000, FGenAq2_001","pH_volume, pH_volume",1,1,examples/Control_Files/input_data/ex60b/,"FGenAq2_000.pH_volume.csv, FGenAq2_001.pH_volume.csv",pH Plumes in the USDW
4,"MSW1_000, MSW1_001","CO2_atm, CO2_atm",1.00E-06,1,examples/Control_Files/input_data/ex60b/,"MSW1_000.CO2_atm.csv, MSW1_001.CO2_atm.csv",CO$_2$ Released Into Atmosphere
5,Expert Panel,Extremely Unlikely,None,0,None,None,Hydrocarbon Resources Impacted
6,Expert Panel,Unlikely,None,0,None,None,Loss of Project Support
