Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_000.CO2_aquifer1_10,3.652500000000e+03,2.590590690529e-12,1.020297846691e-10,2.026553811505e-10,5.299103385842e-12,9.118491218679e-12,7.947267976156e-12,6.268490661595e-12,6.614110637365e-11,5.891861992122e-11,1.733204492804e-11,8.821235519317e-11,3.286740158303e-12,1.437791287519e-11,3.423296619391e-11,1.638115401158e-10,4.208217932287e-11,2.808472809195e-11,1.939726616095e-11,1.210793665770e-10,1.242708761528e-11,5.756057354690e-12,7.949166883440e-11,4.972322624160e-11,2.919884372374e-11,1.006939346329e-11,2.133742509184e-11,4.048683726155e-12,2.115622634715e-12,1.420850938898e-10,3.373569433460e-12
MSW1_000.CO2_aquifer1_11,4.017750000000e+03,2.616364122806e-12,1.030448650394e-10,2.046715718337e-10,5.351823440286e-12,9.209209840107e-12,8.026334257814e-12,6.330855017399e-12,6.679913519406e-11,5.950479321541e-11,1.750447907156e-11,8.908996784977e-11,3.319439486381e-12,1.452095676292e-11,3.457354529059e-11,1.654412787294e-10,4.250084916668e-11,2.836413920908e-11,1.959024690780e-11,1.222839686312e-10,1.255072300961e-11,5.813323581678e-12,8.028252057127e-11,5.021791581784e-11,2.948933902504e-11,1.016957248102e-11,2.154970821427e-11,4.088963526514e-12,2.136670674799e-12,1.434986790561e-10,3.407132614107e-12
MSW1_000.CO2_aquifer1_12,4.383000000000e+03,2.642234568548e-12,1.040637662613e-10,2.066953516341e-10,5.404741937650e-12,9.300269934400e-12,8.105698151906e-12,6.393454118120e-12,6.745964089270e-11,6.009317291723e-11,1.767756227235e-11,8.997088391737e-11,3.352261897605e-12,1.466453908042e-11,3.491540635692e-11,1.670771518215e-10,4.292109492059e-11,2.864460205422e-11,1.978395405114e-11,1.234931049132e-10,1.267482377843e-11,5.870805363779e-12,8.107634914356e-11,5.071446744935e-11,2.978092777618e-11,1.027012858137e-11,2.176279038904e-11,4.129394943583e-12,2.157797941557e-12,1.449175850807e-10,3.440822129516e-12
MSW1_000.CO2_aquifer1_13,4.748250000000e+03,2.668202027754e-12,1.050864883348e-10,2.087267205519e-10,5.457858877934e-12,9.391671501558e-12,8.185359658432e-12,6.456287963758e-12,6.812262346958e-11,6.068375902673e-11,1.785129453041e-11,9.085510339601e-11,3.385207391973e-12,1.480865982769e-11,3.525854939291e-11,1.687191593923e-10,4.334291658466e-11,2.892611662735e-11,1.997838759097e-11,1.247067754231e-10,1.279938992174e-11,5.928502700991e-12,8.187315455126e-11,5.121288113586e-11,3.007360997716e-11,1.037106176434e-11,2.197667161615e-11,4.169977977361e-12,2.179004434988e-12,1.463418119637e-10,3.474637979688e-12
MSW1_000.CO2_aquifer1_14,5.113500000000e+03,2.694266500425e-12,1.061130312600e-10,2.107656785874e-10,5.511174261137e-12,9.483414541582e-12,8.265318777392e-12,6.519356554314e-12,6.878808292471e-11,6.127655154392e-11,1.802567584574e-11,9.174262628571e-11,3.418275969487e-12,1.495331900473e-11,3.560297439855e-11,1.703673014418e-10,4.376631415882e-11,2.920868292850e-11,2.017354752730e-11,1.259249801609e-10,1.292442143954e-11,5.986415593316e-12,8.267293679440e-11,5.171315687738e-11,3.036738562800e-11,1.047237202995e-11,2.219135189559e-11,4.210712627849e-12,2.200290155091e-12,1.477713597053e-10,3.508580164623e-12
MSW1_000.CO2_aquifer1_15,5.478750000000e+03,2.720427986561e-12,1.071433950368e-10,2.128122257405e-10,5.564688087259e-12,9.575499054471e-12,8.345575508787e-12,6.582659889787e-12,6.945601925812e-11,6.187155046884e-11,1.820070621835e-11,9.263345258649e-11,3.451467630147e-12,1.509851661154e-11,3.594868137395e-11,1.720215779701e-10,4.419128764308e-11,2.949230095765e-11,2.036943386012e-11,1.271477191266e-10,1.304991833184e-11,6.044544040753e-12,8.347569587298e-11,5.221529467392e-11,3.066225472868e-11,1.057405937819e-11,2.240683122736e-11,4.251598895046e-12,2.221655101868e-12,1.492062283053e-10,3.542648684319e-12
MSW1_000.CO2_aquifer1_16,5.844000000000e+03,2.736741893338e-12,1.077859142932e-10,2.140884215709e-10,5.598058499248e-12,9.632921562942e-12,8.395622391742e-12,6.622134891636e-12,6.987253424653e-11,6.224258279388e-11,1.830985250951e-11,9.318895838518e-11,3.472165447349e-12,1.518905964145e-11,3.616425901134e-11,1.730531597761e-10,4.445629467558e-11,2.966916086790e-11,2.049158561238e-11,1.279102006390e-10,1.312817629440e-11,6.080792060755e-12,8.397628428413e-11,5.252842020407e-11,3.084613063690e-11,1.063747006943e-11,2.254120087719e-11,4.277094952419e-12,2.234977959300e-12,1.501009906476e-10,3.563893297544e-12
MSW1_000.CO2_aquifer1_17,6.209250000000e+03,2.753081496319e-12,1.084294455884e-10,2.153666275497e-10,5.631481473322e-12,9.690434518206e-12,8.445748104064e-12,6.661672070972e-12,7.028970529199e-11,6.261419953571e-11,1.841917071814e-11,9.374533916675e-11,3.492895865900e-12,1.527974528664e-11,3.638017620732e-11,1.740863664368e-10,4.472171912342e-11,2.984629935209e-11,2.061392976714e-11,1.286738831439e-10,1.320655752189e-11,6.117097175392e-12,8.447766117730e-11,5.284203894148e-11,3.103029617007e-11,1.070098063952e-11,2.267578217406e-11,4.302631168899e-12,2.248321801704e-12,1.509971623391e-10,3.585171373381e-12
MSW1_000.CO2_aquifer1_18,6.574500000000e+03,2.769446795505e-12,1.090739889222e-10,2.166468436767e-10,5.664957009481e-12,9.748037920262e-12,8.495952645754e-12,6.701271427797e-12,7.070753239450e-11,6.298640069434e-11,1.852866084423e-11,9.430259493121e-11,3.513658885799e-12,1.537057354710e-11,3.659643296188e-11,1.751211979523e-10,4.498756098661e-11,3.002371641020e-11,2.073646632441e-11,1.294387666413e-10,1.328506201432e-11,6.153459384663e-12,8.497982655249e-11,5.315615088615e-11,3.121475132810e-11,1.076459108845e-11,2.281057511796e-11,4.328207544484e-12,2.261686629080e-12,1.518947433799e-10,3.606482911831e-12
MSW1_000.CO2_aquifer1_19,6.939750000000e+03,2.785837790897e-12,1.097195442948e-10,2.179290699522e-10,5.698485107725e-12,9.805731769112e-12,8.546236016813e-12,6.740932962109e-12,7.112601555407e-11,6.335918626978e-11,1.863832288778e-11,9.486072567855e-11,3.534454507046e-12,1.546154442283e-11,3.681302927502e-11,1.761576543226e-10,4.525382026514e-11,3.020141204220e-11,2.085919528417e-11,1.302048511312e-10,1.336368977169e-11,6.189878688570e-12,8.548278040969e-11,5.347075603809e-11,3.139949611099e-11,1.082830141622e-11,2.294557970891e-11,4.353824079177e-12,2.275072441428e-12,1.527937337699e-10,3.627827912893e-12
