Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_000.brine_atm_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_000.brine_atm_1,3.652500000000e+02,-8.809351477047e-24,-1.339698947560e-20,-9.168479388490e-20,-2.479808907466e-23,-3.324900804087e-22,-3.169760460238e-22,-4.718254727622e-23,-1.117493140259e-20,-1.953418029427e-20,-1.015924606724e-21,-1.678712749883e-20,-4.126628770229e-23,-2.196932015019e-22,-1.938706039785e-21,-5.310759801469e-20,-1.370860195773e-21,-1.870095947238e-21,-6.725184663239e-22,-1.454024200098e-20,-7.003655767529e-22,-1.516475266058e-22,-4.357674740189e-21,-8.041807910764e-21,-2.541201267857e-21,-2.911217461527e-22,-3.026659119878e-22,-1.469159758742e-23,-3.318657709579e-24,-3.110202132425e-20,-1.685575119923e-23
MSW1_000.brine_atm_2,7.305000000000e+02,-9.040654122624e-24,-1.374846250762e-20,-9.414346309505e-20,-2.543913716776e-23,-3.416205783928e-22,-3.257628718242e-22,-4.841701598528e-23,-1.147623840306e-20,-2.007827925567e-20,-1.043631373867e-21,-1.723668079048e-20,-4.239736632896e-23,-2.254137249638e-22,-1.990075873072e-21,-5.452488918284e-20,-1.406120207476e-21,-1.920367094499e-21,-6.903931176638e-22,-1.491783934516e-20,-7.196988072547e-22,-1.558352686769e-22,-4.469261481815e-21,-8.260779329189e-21,-2.610149535214e-21,-2.990085309641e-22,-3.104053770251e-22,-1.507161900255e-23,-3.403873176270e-24,-3.192380533935e-20,-1.730039757884e-23
MSW1_000.brine_atm_3,1.095750000000e+03,-9.175949930845e-24,-1.395406036712e-20,-9.558169260377e-20,-2.581416657248e-23,-3.469615858035e-22,-3.309028922674e-22,-4.913910721045e-23,-1.165249182018e-20,-2.039655662636e-20,-1.059838915596e-21,-1.749965270084e-20,-4.305899876131e-23,-2.287600482718e-22,-2.020125261282e-21,-5.535395241194e-20,-1.426745764704e-21,-1.949774004805e-21,-7.008491731397e-22,-1.513871941255e-20,-7.310078925401e-22,-1.582849036547e-22,-4.534535777418e-21,-8.388869238168e-21,-2.650481823931e-21,-3.036220114050e-22,-3.149326990640e-22,-1.529391754046e-23,-3.453725487695e-24,-3.240451942562e-20,-1.756053062531e-23
MSW1_000.brine_atm_4,1.461000000000e+03,-9.271950605225e-24,-1.409993494799e-20,-9.660213230519e-20,-2.608023456467e-23,-3.507511503327e-22,-3.345497715803e-22,-4.965148469434e-23,-1.177754560075e-20,-2.062237821707e-20,-1.071338288922e-21,-1.768623408214e-20,-4.352845111860e-23,-2.311343716851e-22,-2.041445706360e-21,-5.594218192871e-20,-1.441379923357e-21,-1.970638438975e-21,-7.082678183076e-22,-1.529543668934e-20,-7.390319391490e-22,-1.600229984220e-22,-4.580848420657e-21,-8.479750353185e-21,-2.679097999787e-21,-3.068953157755e-22,-3.181447927587e-22,-1.545166506960e-23,-3.489088642962e-24,-3.274559053774e-20,-1.774507477332e-23
MSW1_000.brine_atm_5,1.826250000000e+03,-9.346411679107e-24,-1.421308363421e-20,-1.015429728640e-19,-2.628660797305e-23,-3.536904460656e-22,-3.373785281788e-22,-5.004891035320e-23,-1.187454472651e-20,-2.079753876601e-20,-1.080257889874e-21,-1.783095791216e-20,-4.389256589314e-23,-2.329760167722e-22,-2.057982991946e-21,-5.705248708672e-20,-1.452731040137e-21,-1.986822068357e-21,-7.140221641808e-22,-1.541699640775e-20,-7.452558544759e-22,-1.613711247312e-22,-4.616771568559e-21,-8.550243358106e-21,-2.701294474900e-21,-3.094342645989e-22,-3.206363606240e-22,-1.557401246562e-23,-3.516526211321e-24,-3.301014608636e-20,-1.788822837572e-23
MSW1_000.brine_atm_6,2.191500000000e+03,-9.407234087495e-24,-1.430553339914e-20,-1.070369772835e-19,-2.645526396940e-23,-3.560921330915e-22,-3.396897180678e-22,-5.037362522331e-23,-1.195379921508e-20,-2.094065568637e-20,-1.087545682739e-21,-1.794920599249e-20,-4.419008355095e-23,-2.344807196451e-22,-2.071495094569e-21,-5.996465665406e-20,-1.462005776407e-21,-2.000045102762e-21,-7.187238737835e-22,-1.569196275095e-20,-7.503411230419e-22,-1.624726333999e-22,-4.646122716259e-21,-8.607840262163e-21,-2.719430288503e-21,-3.115087222606e-22,-3.226721147975e-22,-1.567397593345e-23,-3.538940954386e-24,-3.436679475571e-20,-1.800520165682e-23
MSW1_000.brine_atm_7,2.556750000000e+03,-9.458688772633e-24,-1.467497273827e-20,-1.118889471393e-19,-2.659783825206e-23,-3.581226364096e-22,-3.416438497895e-22,-5.064812416642e-23,-1.202080762416e-20,-2.106165925784e-20,-1.093707573878e-21,-1.805237302446e-20,-4.444161308318e-23,-2.357529550699e-22,-2.082919476806e-21,-6.254460021218e-20,-1.469847349628e-21,-2.011225184638e-21,-7.226990424925e-22,-1.631267105169e-20,-7.546406121906e-22,-1.634039699801e-22,-4.670938899831e-21,-8.656537927742e-21,-2.734763821652e-21,-3.132627298315e-22,-3.243933106851e-22,-1.575848265792e-23,-3.557885942063e-24,-3.578995938773e-20,-1.810409276686e-23
MSW1_000.brine_atm_8,2.922000000000e+03,-9.503234761875e-24,-1.516097515083e-20,-1.162737082075e-19,-2.672133196158e-23,-3.598816483169e-22,-3.433366220326e-22,-5.088595340340e-23,-1.207885299565e-20,-2.116647717847e-20,-1.099045154674e-21,-1.862816319083e-20,-4.465952974527e-23,-2.368550430583e-22,-2.092815539647e-21,-6.488411711018e-20,-1.476639935060e-21,-2.020909586237e-21,-7.261424696476e-22,-1.687738521652e-20,-7.583650710432e-22,-1.642107281671e-22,-4.750280951956e-21,-8.698721771610e-21,-2.748046513663e-21,-3.147820759349e-22,-3.258844057074e-22,-1.583168648474e-23,-3.574304109653e-24,-3.708275173895e-20,-1.818974580484e-23
MSW1_000.brine_atm_9,3.287250000000e+03,-9.542536058692e-24,-1.561071481088e-20,-1.202959801956e-19,-2.683024407031e-23,-3.614331405022e-22,-3.448297385110e-22,-5.109571644847e-23,-1.224764871898e-20,-2.125893305706e-20,-1.103753273771e-21,-1.916147812783e-20,-4.485171598330e-23,-2.378270429531e-22,-2.101544778601e-21,-6.703818700886e-20,-1.482631629458e-21,-2.029452062372e-21,-7.291799292594e-22,-1.739921650810e-20,-7.616502329792e-22,-1.649223176815e-22,-4.881671060532e-21,-8.735930466965e-21,-2.759762577220e-21,-3.161222273534e-22,-3.271994861402e-22,-1.589624981945e-23,-3.588787102835e-24,-3.827534100585e-20,-1.826530388841e-23
