Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
FGenAq1_001.TDS_volume_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
FGenAq1_001.TDS_volume_1,3.652500000000e+02,1.027818882504e-02,1.032947935519e-02,1.033004959114e-02,1.033170917906e-02,1.033176027690e-02,1.030562073090e-02,1.032922140914e-02,1.031039153842e-02,1.033138649938e-02,1.033156308322e-02,1.031317277596e-02,1.032856223522e-02,1.031842739416e-02,1.033073925736e-02,1.030328541011e-02,1.026457846389e-02,1.028367449669e-02,1.032234682519e-02,1.032788411174e-02,1.032733198133e-02,1.029098692793e-02,1.033033263893e-02,1.032630053794e-02,1.033112538913e-02,1.029813456923e-02,1.031658426354e-02,1.033188297490e-02,1.032101510623e-02,1.032547142419e-02,1.032437631971e-02
FGenAq1_001.TDS_volume_2,7.305000000000e+02,1.023333652094e-02,1.032683889550e-02,1.032787860195e-02,1.033090453590e-02,1.033099770332e-02,1.028334100080e-02,1.032636858585e-02,1.029203838621e-02,1.033031619014e-02,1.033063815744e-02,1.029710882094e-02,1.032516672615e-02,1.030668868251e-02,1.032913606957e-02,1.027908370641e-02,1.020852995481e-02,1.024333543485e-02,1.031383452765e-02,1.032393032124e-02,1.032292364011e-02,1.025666457875e-02,1.032839468199e-02,1.032104305281e-02,1.032984010556e-02,1.026969393401e-02,1.030332837649e-02,1.033122142045e-02,1.031140653884e-02,1.031953137346e-02,1.031753473930e-02
FGenAq1_001.TDS_volume_3,1.095750000000e+03,1.020901759708e-02,1.032540741287e-02,1.032670163679e-02,1.033046831392e-02,1.033058428861e-02,1.027126171581e-02,1.032482197276e-02,1.028208806663e-02,1.032973594191e-02,1.033013672635e-02,1.028839966711e-02,1.032332590163e-02,1.030032456099e-02,1.032826692979e-02,1.026596232198e-02,1.017813947021e-02,1.022146387540e-02,1.030921964400e-02,1.032178682929e-02,1.032053371673e-02,1.023805556179e-02,1.032734405205e-02,1.031819277035e-02,1.032914331255e-02,1.025427414843e-02,1.029614168940e-02,1.033086277143e-02,1.030619730344e-02,1.031631103985e-02,1.031382564149e-02
FGenAq1_001.TDS_volume_4,1.461000000000e+03,1.020619679722e-02,1.032524574439e-02,1.032656875307e-02,1.033041910615e-02,1.033053765486e-02,1.026988030905e-02,1.032464727784e-02,1.028095296043e-02,1.032967047613e-02,1.033008015831e-02,1.028740759400e-02,1.032311790204e-02,1.029960160927e-02,1.032816883654e-02,1.026445991410e-02,1.017458991678e-02,1.021893406796e-02,1.030869648220e-02,1.032154454361e-02,1.032026349725e-02,1.023591120240e-02,1.032722544983e-02,1.031787032413e-02,1.032906468687e-02,1.025250384495e-02,1.029532450539e-02,1.033082231796e-02,1.030560634929e-02,1.031594657100e-02,1.031340561290e-02
FGenAq1_001.TDS_volume_5,1.826250000000e+03,1.022578799297e-02,1.032641454780e-02,1.032752988698e-02,1.033077548893e-02,1.033087540918e-02,1.027968154646e-02,1.032590999974e-02,1.028903683908e-02,1.033014448479e-02,1.033048979968e-02,1.029448827946e-02,1.032462057128e-02,1.030478287570e-02,1.032887872221e-02,1.027510020471e-02,1.019898511891e-02,1.023657903794e-02,1.031245749086e-02,1.032329397003e-02,1.032221376826e-02,1.025095290973e-02,1.032808347945e-02,1.032019563751e-02,1.032963386279e-02,1.026499106586e-02,1.030117262716e-02,1.033111533886e-02,1.030985025755e-02,1.031857320818e-02,1.031643003821e-02
FGenAq1_001.TDS_volume_6,2.191500000000e+03,1.024905728024e-02,1.032781186892e-02,1.032867901954e-02,1.033120167039e-02,1.033127931635e-02,1.029136357943e-02,1.032741955226e-02,1.029867780958e-02,1.033071130627e-02,1.033097966147e-02,1.030293581137e-02,1.032641682438e-02,1.031096845785e-02,1.032972753655e-02,1.028777853436e-02,1.022791018166e-02,1.025755134368e-02,1.031694975584e-02,1.032538501022e-02,1.032454470875e-02,1.026884769064e-02,1.032910937733e-02,1.032297445983e-02,1.033031446307e-02,1.027986034329e-02,1.030815268950e-02,1.033146575654e-02,1.031491845473e-02,1.032171179109e-02,1.032004343730e-02
FGenAq1_001.TDS_volume_7,2.556750000000e+03,1.027606070343e-02,1.032944291266e-02,1.033002044863e-02,1.033169926338e-02,1.033175090550e-02,1.030496262114e-02,1.032918154798e-02,1.030990694580e-02,1.033137308079e-02,1.033155159565e-02,1.031277802723e-02,1.032851330832e-02,1.031817958857e-02,1.033071846985e-02,1.030253344411e-02,1.026139430046e-02,1.028190434843e-02,1.032218916065e-02,1.032782536429e-02,1.032726486804e-02,1.028964435271e-02,1.033030698820e-02,1.032621690699e-02,1.033110905280e-02,1.029715492227e-02,1.031628831544e-02,1.033187489879e-02,1.032082868276e-02,1.032537367630e-02,1.032425878000e-02
FGenAq1_001.TDS_volume_8,2.922000000000e+03,1.030681592865e-02,1.033131287393e-02,1.033155846541e-02,1.033226987985e-02,1.033229170490e-02,1.032051423290e-02,1.033120158781e-02,1.032275487134e-02,1.033213194692e-02,1.033220745292e-02,1.032404241597e-02,1.033091665363e-02,1.032643731091e-02,1.033185470872e-02,1.031940271259e-02,1.029945099164e-02,1.030967607735e-02,1.032819148753e-02,1.033062271009e-02,1.033038276780e-02,1.031339024042e-02,1.033168015142e-02,1.032993305574e-02,1.033202019468e-02,1.031691701536e-02,1.032560288759e-02,1.033234409273e-02,1.032759855520e-02,1.032957017048e-02,1.032908897023e-02
FGenAq1_001.TDS_volume_9,3.287250000000e+03,1.034136124066e-02,1.033342693721e-02,1.033329735394e-02,1.033291513075e-02,1.033290324198e-02,1.033805330435e-02,1.033348526055e-02,1.033725174484e-02,1.033299004151e-02,1.033294908272e-02,1.033675610619e-02,1.033363347368e-02,1.033576247128e-02,1.033313943590e-02,1.033842333356e-02,1.034213969698e-02,1.034088730065e-02,1.033497241363e-02,1.033378470224e-02,1.033390690093e-02,1.034010978887e-02,1.033323270068e-02,1.033413294205e-02,1.033305044893e-02,1.033918777450e-02,1.033611953973e-02,1.033287466487e-02,1.033524555248e-02,1.033431252852e-02,1.033454684348e-02
